street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
135 Beach Rd Unit C2,379900,2,2.5,"1,677",$227 / Sq. Ft.,Condominium,Essex,Salisbury Beach,2003,,,,,True,,
6 High St,429900,4,3,"2,600",$165 / Sq. Ft.,Single Family Detached,Essex,Salisbury,1890,,,,,,True,
"2 12Th St West, U:2",415000,3,1.5,"1,174",$353 / Sq. Ft.,Single Family Detached,Essex,Salisbury,1950,,,True,,True,,
135 Beach Rd #203,189900,1,1,756,$251 / Sq. Ft.,Condominium,Essex,Salisbury,2004,,,,,,,
536 N End Blvd,950000,6,2.5,"1,772",$536 / Sq. Ft.,Single Family Attached,Essex,Salisbury,1910,,,,,,,
29 RAILROAD Ave #5,324900,2,2.5,"1,383",$235 / Sq. Ft.,Condominium,Essex,Salisbury Beach,2005,,,True,,,,
30 Elm #2,435000,2,2,"1,605",$271 / Sq. Ft.,Condominium,Essex,Salisbury,2017,,,,True,,,
30 Elm #3,429000,2,2,"1,605",$267 / Sq. Ft.,Condominium,Essex,Salisbury,2017,,,,True,,,
111 Beach Rd #10,249000,2,1.5,971,$256 / Sq. Ft.,Condominium,Essex,Salisbury Beach,2005,True,,,,,,
9 Gerrish,860000,—,—,—,Sq. Ft.,Residential,Essex,Salisbury,,,,,,,,
165 - 175 Beach Rd Unit KITTERY,430000,2,2.5,"1,634",$263 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2017,,,True,,True,,
165 - 175 Beach Rd Unit NEWBURYPORT,420000,2,2.5,"1,600",$263 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2017,,,True,,,,
165 - 175 Beach Rd Unit PORTSMOUTH,470000,2,2.5,"1,898",$248 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2017,,,,,,,
6A Ferry Rd Unit 6A,459900,3,2.5,"1,946",$236 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2015,,True,,,,True,
92 Forest Rd,139000,—,—,—,Sq. Ft.,Residential,Essex,Salisbury,,,,,,,,
178 N End Blvd Unit B,499178,2,1,"1,078",$463 / Sq. Ft.,Condominium,Essex,Salisbury,1983,True,True,,,,,
178 N End Blvd Blvd,499178,2,1,"1,078",$463 / Sq. Ft.,Condo,Essex,Salisbury,1983,True,True,,,,,
6 Lieutenant Hines Cir,424900,3,2.5,"1,820",$233 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2015,,,True,,True,,
146 N End Blvd,680000,7,3,"2,976",$228 / Sq. Ft.,2 Units Up/Down,Essex,Salisbury Beach,1915,True,,,,,,
6 Dock Ln Unit B,409000,5,4,"2,991",$137 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2006,,,,,,,
233 Beach Rd Unit D - One,469899,3,2.5,"1,785",$263 / Sq. Ft.,Condominium,Essex,Salisbury Beach,2017,True,True,,,,,
19 Commonwealth Ave,925000,7,2.5,"2,828",$327 / Sq. Ft.,2 Family,-,Salisbury Beach,1975,,,,,,,
30 Elm #1,450000,2,2,"1,625",$277 / Sq. Ft.,Condominium,Essex,Salisbury,2017,,,,True,,,
406 N end Blvd #3,814900,3,2.5,"2,016",$404 / Sq. Ft.,Condominium,Essex,Salisbury Beach,2006,True,,,,,,True
76 Beach Rd,375000,1,2,"1,216",$308 / Sq. Ft.,Single Family Detached,Essex,Salisbury,1920,,,,,,,
121 Railroad Ave,399900,7,3,"2,038",$196 / Sq. Ft.,3 Family,Essex,Salisbury Beach,1950,,,,,,,
17 & 19 N End Blvd,450000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
41 Elm St,529000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
8 12Th St,454900,3,3,"2,500",$182 / Sq. Ft.,Single Family Detached,Essex,Salisbury Beach,1977,True,,,,,True,
345 N End Blvd,850000,—,—,—,Sq. Ft.,Residential,Essex,Salisbury Beach,,,,,,,,
40 Lafayette Rd,149900,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury Center,,,,,,,,
75 Atlantic Ave #1,399900,2,1.5,"1,041",$384 / Sq. Ft.,Condominium,Essex,Salisbury Beach,1988,True,,True,,True,,
336 N End Blvd,750000,6,2,"2,000",$375 / Sq. Ft.,2 Family,-,Salisbury Beach,1960,True,,,,,,
241 & 245 Lafayette Rd,575000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
46 Lafayette Rd,199900,3,1,852,$235 / Sq. Ft.,Single Family Detached,Essex,Salisbury Center,1935,,,,,,,
Lot 4 Corporal Patten Way,155000,—,—,—,Sq. Ft.,Residential,Essex,Salisbury,,,,,,,,
20 Locust St,359900,6,2,"4,804",$75 / Sq. Ft.,Single Family Detached,Essex,Salisbury,1960,,,True,,,,
2 Hayes St,429900,4,3,"1,900",$226 / Sq. Ft.,Single Family Detached,Essex,Salisbury,2016,,,True,,,True,
30-32 Cable Ave,419900,2,1,608,$691 / Sq. Ft.,Single Family Detached,Essex,Salisbury Beach,1983,,,,,,,
0 Lafayette St,850000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
45 Lafayette Rd,220000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
178 Lafayette Rd,550000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury,,,,,,,,
35 Old County Rd,150000,—,—,—,Sq. Ft.,Residential,Essex,Salisbury,,,,,,,,
207 Beach Rd,1000000,—,—,—,Sq. Ft.,Commercial,Essex,Salisbury Beach,,,,,,,,
2 Pzegeo Cir,550000,3,3,"2,310",$238 / Sq. Ft.,Single Family Detached,Essex,Boulderwood,2017,,,True,,,,
17 TRACEY St,649900,8,4,"2,832",$229 / Sq. Ft.,4 Family,Essex,Peabody,1900,True,,,,,,
7 Pocahontas Dr,489900,3,2.5,"1,895",$259 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1960,,,True,,,,
29 Roosevelt Ave,399900,3,1,"1,028",$389 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1963,,,,,,,
1 lynnfield,429900,4,2,"2,068",$208 / Sq. Ft.,Single Family Detached,Essex,Peabody,1922,True,,,,,,
70 Fairview Ave,349900,3,1,"1,008",$347 / Sq. Ft.,Single Family Detached,Essex,South Peabody,1922,,,,,,,
19 Winona St,459900,3,1.5,"1,188",$387 / Sq. Ft.,Single Family Detached,Essex,Peabody,1961,,,True,,True,,
75 Walnut St #112,196000,1,1,782,$251 / Sq. Ft.,Condominium,Essex,Peabody,2004,True,,True,,True,,
39 Bowditch St,299999,3,1.5,"1,224",$245 / Sq. Ft.,Single Family Detached,Essex,Peabody,1840,True,,,,,,
70 Lynn St #3,184900,2,1,820,$225 / Sq. Ft.,Condominium,Essex,Peabody,1920,True,,,,,,
2 Krochmal Rd,369000,3,1,"1,427",$259 / Sq. Ft.,Single Family Detached,Essex,Peabody,1950,,,True,,,,
8 Walnut St #405,275000,2,2,"1,227",$224 / Sq. Ft.,Condominium,Essex,Peabody,2005,True,,,,True,,True
14 James St,384900,3,1.5,"1,075",$358 / Sq. Ft.,Single Family Detached,Essex,Emerson Park,1910,,,True,,True,True,
1 Birchwood Ave,459900,3,1.5,"1,774",$259 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1960,,,True,,True,True,
19 Joy Rd,424900,4,2.5,"2,012",$211 / Sq. Ft.,Single Family Detached,Essex,South Peabody,1959,,,,,,,
4 ledgewood Way #23,329900,3,2.5,"1,300",$254 / Sq. Ft.,Condominium,Essex,Peabody,1981,,,True,,,,
42 Hampshire Rd,675000,5,3.5,"3,647",$185 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1991,True,,True,,True,,
10 Donna St,429000,3,1,"1,360",$315 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1957,,,True,,,,
32 Dane St,389000,3,1,"1,456",$267 / Sq. Ft.,Single Family Detached,Essex,Meadow Golf Course,1936,,,,,,,
6 Shillaber St,447000,4,2,"1,686",$265 / Sq. Ft.,2 Family,Essex,Peabody,1932,,,,,,,
3 Sycamore,469900,3,2.5,"1,644",$286 / Sq. Ft.,Single Family Detached,Essex,Peabody,1961,,,True,,,,
5 Ledgewood Way #1,325000,2,2,"1,314",$247 / Sq. Ft.,Condominium,Essex,Peabody,1982,,,True,,,,
13 Oakland St,525000,4,3,"1,800",$292 / Sq. Ft.,Single Family Detached,Essex,Peabody,2017,,,True,,,True,
20 James,564500,4,2.5,"2,861",$197 / Sq. Ft.,Single Family Detached,Essex,Emerson Park,1910,,,,,,,
210 Washington St #19,164000,1,1,628,$261 / Sq. Ft.,Condominium,Essex,Peabody,1900,True,,True,True,True,,
266 Newbury St #5,94900,2,1,"1,000",$95 / Sq. Ft.,,Essex,Park Place,1990,True,,True,,True,True,
278 Newbury St #31,149900,3,1,924,$162 / Sq. Ft.,,Essex,Whispering Meadows Co-op Mobile Home Park,1969,True,,True,,True,,
LotB Pearl,649900,4,2.5,"2,500",$260 / Sq. Ft.,Single Family Detached,Essex,Peabody,2017,,,,,,,
0 Felton,20000,—,—,—,Sq. Ft.,Residential,Essex,South Peabody,,,,,,,,
5 Sycamore Cir,489900,3,1.5,"1,703",$288 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1961,True,,True,,,,
11 Endicott St Unit B,349000,2,1.5,"1,740",$201 / Sq. Ft.,Condominium,Essex,Peabody,2003,True,,,,True,,
2 Blaney Ave #3,199900,2,1,770,$260 / Sq. Ft.,Condominium,Essex,Peabody,1928,True,,True,,,,
84 Pine St,339900,3,2,"1,666",$204 / Sq. Ft.,Single Family Detached,Essex,Peabody,1987,,,True,,,True,
4 Newington Rd,479900,3,2,"1,786",$269 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1962,,,True,,,True,
204 Lynn St,470000,6,4,"3,072",$153 / Sq. Ft.,Single Family Detached,Essex,Peabody,2004,,,,,,,
38 Russell St,469900,3,2.5,"2,336",$201 / Sq. Ft.,Single Family Detached,Essex,West Peabody,1964,,,True,,,,
195 Lynn St,579000,4,1.5,"3,564",$162 / Sq. Ft.,Single Family Attached,Essex,South Peabody,1870,,,True,,True,True,
286 Newbury St #21,95000,3,1,"1,000",$95 / Sq. Ft.,,Essex,Mobile Estates,1969,True,True,True,,True,True,
75 Walnut St #210,224900,1,1,763,$295 / Sq. Ft.,Condominium,Essex,Peabody,2004,True,,True,,True,,
10 Hathaway Ave,729000,4,3.5,"3,268",$223 / Sq. Ft.,Single Family Detached,Essex,Peabody,1990,,,True,,,,
1 Fountain St,284900,2,1.5,"1,019",$280 / Sq. Ft.,Single Family Detached,Essex,Peabody,1900,True,,True,,,,
17 Berry St,379000,3,1.5,"1,197",$317 / Sq. Ft.,Single Family Detached,Essex,Peabody,1840,True,,True,,,True,
38 Patricia Rd,639900,3,2.5,"2,460",$260 / Sq. Ft.,Single Family Detached,Essex,West Peabody,2017,,,,,,,
689 Lowell St,599900,3,2,"2,420",$248 / Sq. Ft.,Single Family Detached,Essex,West Peabody,2017,,,,,,,
6 Jacobs St,229900,2,1,960,$239 / Sq. Ft.,Single Family Detached,Essex,Peabody,1880,True,,,,,,
Lot 4 Wheatland St,789900,5,3.5,"3,548",$223 / Sq. Ft.,Single Family Detached,Essex,Peabody,2017,,True,,,True,,
LOT 2A WHEATLAND St,679900,4,3.5,"3,131",$217 / Sq. Ft.,Single Family Detached,Essex,Peabody,2017,,,True,,,,
LOT 1A WHEATLAND St,639900,4,2.5,"2,500",$256 / Sq. Ft.,Single Family Detached,Essex,Peabody,2017,,,True,,,,
10 Marshall Cir,575000,3,2,"1,560",$369 / Sq. Ft.,Single Family Detached,Essex,Boulderwood,2016,,,True,,,,
44 Gedney Dr,549900,3,2.5,"2,300",$239 / Sq. Ft.,Single Family Detached,Essex,Boulderwood,2016,,,True,,,,
8 & 10 Hale St,725000,6,6,"3,484",$208 / Sq. Ft.,4 Family,Essex,Rockport,1850,True,,,,,,
182 R Granite St,365000,4,1.5,"1,382",$264 / Sq. Ft.,Single Family Detached,Essex,Pigeon Cove,1850,,,,,,,
13 Poole's Ln,439000,3,1.5,"1,730",$254 / Sq. Ft.,Single Family Detached,Essex,In town,2001,,,True,,,True,
9-106/A Pigeon Hill St,199000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
1 High Street Ct,599000,3,2.5,"2,842",$211 / Sq. Ft.,Single Family Detached,Essex,Rockport,1965,True,,True,,,,
12 High St Unit A,399900,3,2,"1,393",$287 / Sq. Ft.,Condominium,Essex,Rockport,1803,True,,,,,,
6 Rear South St Unit C,680000,4,2.5,"3,452",$197 / Sq. Ft.,Single Family Attached,Essex,Rockport,2017,True,,True,,,,
1 Long Bch,650000,4,2,"1,590",$409 / Sq. Ft.,Single Family Detached,Essex,Long Beach,1935,,,True,,True,,
62 Eden Rd,1399000,3,2,"1,622",$863 / Sq. Ft.,Single Family Detached,Essex,Rockport,1950,,,True,,,,
1 Gannon Ct,395000,2,1,"1,529",$258 / Sq. Ft.,Single Family Detached,Essex,Rockport,1973,,,True,,True,,
25 Penryn Way,2799000,3,5.5,"7,060",$396 / Sq. Ft.,Single Family Detached,Essex,Rockport,1999,,,True,,,True,
150 Long Bch,575000,3,1.5,"1,066",$539 / Sq. Ft.,Single Family Detached,Essex,Long Beach,1915,,,,,,,
113A Granite St,749000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
3 Smith Rd,469000,2,1,800,$586 / Sq. Ft.,Single Family Detached,Essex,Rockport,1946,,,,,,,
18 Squam Rd Unit C,448850,3,2,"1,053",$426 / Sq. Ft.,Condominium,Essex,Rockport,1991,True,,True,,,,
227 GRANITE St Unit 4A,249000,2,1,"1,006",$248 / Sq. Ft.,Condominium,Essex,Rockport,1800,,,True,,,,
18 Squam Rd #2,485900,3,2,"1,364",$356 / Sq. Ft.,Condominium,Essex,near downtown,1991,,,True,,True,,
4 Norwood Ct #3,289900,2,2,950,$305 / Sq. Ft.,Condominium,Essex,Rockport,1900,,,,,True,,
3 Jerden's Ln,599900,4,4,"3,122",$192 / Sq. Ft.,Single Family Detached,Essex,Rockport,1984,,,True,,,True,
11 Gap Head Rd,3598000,4,3.5,"4,492",$801 / Sq. Ft.,Single Family Detached,Essex,Rockport,1960,,,,,True,,True
2 Spring Ln,579000,4,2.5,"2,386",$243 / Sq. Ft.,Single Family Detached,Essex,Rockport,1998,True,,True,,,,
4 South St #2,349900,2,2,976,$359 / Sq. Ft.,Condominium,Essex,Rockport,1700,True,,True,,,,
7 Gale Ave,929900,3,2,"1,591",$584 / Sq. Ft.,Single Family Detached,Essex,Rockport,1875,,,True,,,,
0 Granite St (off),2600000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,True,,,,,,
65 &71 Granite St,2600000,5,1.5,—,Sq. Ft.,Single Family Detached,Essex,Rockport,1830,True,,,,,,
4 King Street Ct,699000,4,2.5,"2,200",$318 / Sq. Ft.,Single Family Detached,Essex,Rockport,1850,,,True,,True,,
39 Long Bch,375000,4,2,818,$458 / Sq. Ft.,Single Family Detached,Essex,Rockport,1920,True,,True,,True,,
Lot 12 Granite St,135000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
34 Ruthern Way,589000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
4 Danvin Ct Unit 3B,144900,1,1,247,$587 / Sq. Ft.,Condominium,Essex,Rockport,1960,,,True,,,,
69 Marmion Way,2268000,8,9.5,"6,406",$354 / Sq. Ft.,Single Family Detached,Essex,Thatcher's Island,1910,True,,,,,,
7 Lighthouse Ln,574000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
113B Granite St,964000,3,3.5,"3,184",$303 / Sq. Ft.,Single Family Detached,Essex,Rockport,2016,,,True,,,,
16 Hodgkins Rd,319000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,True,,,,,,
47 Penzance Rd,1549000,3,2,"2,678",$578 / Sq. Ft.,Single Family Detached,Essex,Lands End,1964,,,True,,,,
48 Marmion Way,1875000,4,3,"4,309",$435 / Sq. Ft.,Single Family Detached,Essex,Rockport,2007,,,True,,,,
0 Hillside Rd,319000,—,—,—,Sq. Ft.,Residential,Essex,Rockport,,,,,,,,
44 LONG Bch #1,649000,3,3.5,"1,872",$347 / Sq. Ft.,Condominium,Essex,Long Beach,,True,,True,,,,
37 Mt Pleasant St,1300000,8,7.5,"3,900",$333 / Sq. Ft.,Single Family Detached,Essex,Rockport,1771,True,,True,,True,,
48 W Ox Pasture Ln,485000,4,2.5,"1,810",$268 / Sq. Ft.,Single Family Detached,Essex,Rowley,1998,True,,True,,,True,
320 Wethersfield St,699900,4,2.5,"2,950",$237 / Sq. Ft.,Equestrian,Essex,Rowley,2016,,,True,,,,
34 BRADFORD,229000,4,1.5,"2,388",$96 / Sq. Ft.,Single Family Detached,Essex,Rowley,1740,,,,,,,
0 Hog Is,199900,1,0.5,732,$273 / Sq. Ft.,Single Family Detached,Essex,Rowley,1900,,,,,,,
62 Newbury Rd,452999,4,2,"2,208",$205 / Sq. Ft.,Single Family Detached,Essex,Rowley,1972,,,True,,,True,
31 Arrowhead Cir,699900,4,2.5,"3,650",$192 / Sq. Ft.,Single Family Detached,Essex,Wild Pasture Estates,2005,,,True,,,,
245 Main St,349900,—,—,—,Sq. Ft.,Residential,Essex,Rowley,,,,,,,,
124 Newburyport Tpke,549900,—,—,—,Sq. Ft.,Residential,Essex,Rowley,,,,,,,,
0 Dodge Rd,210000,—,—,—,Sq. Ft.,Residential,Essex,Rowley,,,,,,,,
Lot 16 Belle Cir,269900,—,—,—,Sq. Ft.,Residential,Essex,Rowley,,,,,,,,
0 Kathleen Cir,499000,—,—,—,Sq. Ft.,Residential,Essex,Rowley,,,,,,,,
101 1/2 Mason St,299000,3,1,"1,078",$277 / Sq. Ft.,Single Family Detached,Essex,near Mack Park,1890,True,,True,,True,,
26 Forest Ave #2,289000,2,1,959,$301 / Sq. Ft.,Condominium,Essex,South Salem,1910,True,,True,,True,,
26 Forest Ave #3,289000,2,1,923,$313 / Sq. Ft.,Condominium,Essex,South Salem,1910,True,,True,,True,,
97 Leach St,599900,7,4.5,"4,033",$149 / Sq. Ft.,3 Units Up/Down,Essex,Salem,1920,,,,,,,
88-90 Linden St,569900,10,3,"3,974",$143 / Sq. Ft.,2 Units Side-by-Side,Essex,Salem,1900,,,,,,,
1 Washington St #404,376500,2,2,"1,285",$293 / Sq. Ft.,Condominium,Essex,Salem,1980,True,,True,,,,True
16 Brittania Cir #16,395000,2,2.5,"1,940",$204 / Sq. Ft.,Condominium,Essex,Salem,1996,,,True,,True,,
6 Celestial Way #6,309000,2,1.5,"1,635",$189 / Sq. Ft.,Condominium,Essex,Salem,1986,True,,,,,True,
270 Lafayette St #3,289000,2,2,"1,209",$239 / Sq. Ft.,Condominium,Essex,Salem,1880,True,,True,,,,
245 Lafayette St Unit 1D,214900,2,1,881,$244 / Sq. Ft.,Condominium,Essex,Salem,1971,True,,,,True,,
27 Marion Rd Unit A,299999,2,1.5,"1,655",$181 / Sq. Ft.,Condominium,Essex,Salem,1980,,,,,,,
1 Fillmore Rd Unit 3AC,269900,2,1.5,"1,586",$170 / Sq. Ft.,Condominium,Essex,Salem,1980,,,True,,True,,
51 Lafayette St #211,399888,2,2,"1,578",$253 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
1 Plymouth St,260000,4,2,"2,257",$115 / Sq. Ft.,2 Family,Essex,Salem,1905,,,,,,,
12 Gardner St #2,239000,2,1,927,$258 / Sq. Ft.,Condominium,Essex,Salem,1920,True,,True,,True,,
41 Harbor St #7,209900,2,1,933,$225 / Sq. Ft.,Condominium,Essex,Salem,1920,,,,,,,
190 Marlborough Rd,559000,4,2.5,"2,000",$280 / Sq. Ft.,Single Family Detached,Essex,Salem,2016,,,True,,,,
225 Derby St #508,579000,2,2,"1,455",$398 / Sq. Ft.,Condominium,Essex,Salem,2004,True,,True,,,,
2 Wheatland,499900,6,3,"2,850",$175 / Sq. Ft.,3 Family,Essex,Salem,1900,,,,,,,
41 Washington Sq #3,389000,2,2,"1,352",$288 / Sq. Ft.,Condominium,Essex,Salem,1850,,,True,,,,
225 Derby St #503,539000,1,1.5,"1,151",$468 / Sq. Ft.,Condominium,Essex,Salem,2004,,,True,,,,True
6 Rawlins St,359999,4,2,"1,644",$219 / Sq. Ft.,Single Family Detached,Essex,Salem,1860,True,,,,,,
176 Marlborough Rd,439000,5,2,"1,768",$248 / Sq. Ft.,Single Family Detached,Essex,Salem,1957,,,True,,,,
51 Lafayette #503,429000,2,2,"1,545",$278 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
21 Chestnut St,1299000,4,3.5,"4,599",$282 / Sq. Ft.,Single Family Attached,Essex,Salem,1814,,,True,,,,True
15 Cleveland Rd,499999,4,2,"2,672",$187 / Sq. Ft.,2 Family,Essex,Salem,1915,,,,,,,
21 1/2 Goodell St,399900,3,2,"2,396",$167 / Sq. Ft.,Single Family Detached,Essex,Salem,1958,,,True,,,,
7 Waters St #7,379000,2,2.5,"1,339",$283 / Sq. Ft.,Condominium,Essex,Salem,2006,,,,,,,
16 High St #1,179900,1,1,538,$334 / Sq. Ft.,Condominium,Essex,Salem,1900,,,True,,,,
71 Valley St,285000,3,1,986,$289 / Sq. Ft.,Single Family Detached,Essex,Salem,1965,,,,,,,
78 Tremont St,300000,4,2,"2,150",$140 / Sq. Ft.,2 Family,Essex,Salem,1940,,,,,,,
6 South St,349000,3,2,"1,724",$202 / Sq. Ft.,Single Family Detached,Essex,Salem,1870,True,,True,,True,,
22R Becket St,429000,3,1.5,"1,296",$331 / Sq. Ft.,Single Family Detached,Essex,Derby Wharf,1880,True,,True,,,,
22 Becket St Unit R,429000,3,1.5,"1,296",$331 / Sq. Ft.,Condominium,Essex,Salem,1880,True,,True,,,,
10 Linden Ave,399500,3,1,"1,275",$313 / Sq. Ft.,Single Family Detached,Essex,Salem,1951,,,,,,,
25 Clark Ave,529000,5,2.5,"2,704",$196 / Sq. Ft.,Single Family Detached,Essex,Salem,1998,,,True,,,True,
23 Winter St,960600,5,3.5,"4,332",$222 / Sq. Ft.,Single Family Detached,Essex,Salem,1840,,,True,,,,
13 Saunders St,499900,5,2,"2,700",$185 / Sq. Ft.,2 Family,Essex,Salem,1800,,,,,,,
17 Albion St,259900,2,1.5,"1,223",$213 / Sq. Ft.,Single Family Detached,Essex,Salem,1870,True,,,,,,
15 Beckford St,529000,4,1.5,"2,768",$191 / Sq. Ft.,Single Family Detached,Essex,McIntire Historical District,1795,True,,True,,,,
346-358 Highland Ave,3000000,—,—,—,Sq. Ft.,Commercial,Essex,Salem,,,,,,,,
51 Lafayette St #408,415000,2,2,"1,526",$272 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
4 SPRINGSIDE Ave,539000,3,2.5,"1,900",$284 / Sq. Ft.,Single Family Detached,Essex,Salem,2016,,,True,,,,
255 Lafayette St #3,259900,1,1,850,$306 / Sq. Ft.,Condominium,Essex,Salem,1900,,,True,,,,
133 1/2 NORTH St Unit R-1,229723,2,1,"1,200",$191 / Sq. Ft.,Condominium,Essex,Salem,1915,True,,,,,,
253 Loring Ave,369000,3,1.5,"2,048",$180 / Sq. Ft.,Single Family Detached,Essex,Salem,1905,,,True,,,,
5 Chase St #3,174900,2,1,884,$198 / Sq. Ft.,Condominium,Essex,Salem,1930,,,True,,,,
66 Leach St Unit C,137500,2,1,972,$141 / Sq. Ft.,Condominium,Essex,Salem,1920,,,,,,,
284 Lafayette St,1200000,11,11,"5,942",$202 / Sq. Ft.,2 Family (Rooming House),Essex,Salem,1879,True,,,,,,
355 Highland Ave,2899999,—,—,—,Sq. Ft.,Commercial,Essex,Salem,,,,,,,,
97 Leach St,599900,7,4.5,"4,033",$149 / Sq. Ft.,3 Units Up/Down,Essex,Salem,1920,,,,,,,
1 Washington St #404,376500,2,2,"1,285",$293 / Sq. Ft.,Condominium,Essex,Salem,1980,True,,True,,,,True
270 Lafayette St #3,289000,2,2,"1,209",$239 / Sq. Ft.,Condominium,Essex,Salem,1880,True,,True,,,,
245 Lafayette St Unit 1D,214900,2,1,881,$244 / Sq. Ft.,Condominium,Essex,Salem,1971,True,,,,True,,
51 Lafayette St #211,399888,2,2,"1,578",$253 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
12 Gardner St #2,239000,2,1,927,$258 / Sq. Ft.,Condominium,Essex,Salem,1920,True,,True,,True,,
41 Harbor St #7,209900,2,1,933,$225 / Sq. Ft.,Condominium,Essex,Salem,1920,,,,,,,
225 Derby St #508,579000,2,2,"1,455",$398 / Sq. Ft.,Condominium,Essex,Salem,2004,True,,True,,,,
41 Washington Sq #3,389000,2,2,"1,352",$288 / Sq. Ft.,Condominium,Essex,Salem,1850,,,True,,,,
225 Derby St #503,539000,1,1.5,"1,151",$468 / Sq. Ft.,Condominium,Essex,Salem,2004,,,True,,,,True
46 Peach Highlands,839900,4,2.5,"3,406",$247 / Sq. Ft.,Single Family Detached,Essex,Marblehead,1996,,,True,,,,
51 Lafayette #503,429000,2,2,"1,545",$278 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
49 CLOUTMAN'S Ln,1345000,6,4.5,"5,516",$244 / Sq. Ft.,Single Family Detached,Essex,Marblehead,1900,True,,True,,,,
39 Intrepid Cir #302,649900,3,3,"2,597",$250 / Sq. Ft.,Condominium,Essex,Marblehead,2006,,,True,,,,
22R Becket St,429000,3,1.5,"1,296",$331 / Sq. Ft.,Single Family Detached,Essex,Derby Wharf,1880,True,,True,,,,
22 Becket St Unit R,429000,3,1.5,"1,296",$331 / Sq. Ft.,Condominium,Essex,Salem,1880,True,,True,,,,
23 Winter St,960600,5,3.5,"4,332",$222 / Sq. Ft.,Single Family Detached,Essex,Salem,1840,,,True,,,,
1 Anchorage Ln,3399000,4,5,"6,500",$523 / Sq. Ft.,Single Family Detached,Essex,Marblehead,1985,,,True,,,True,
13 Saunders St,499900,5,2,"2,700",$185 / Sq. Ft.,2 Family,Essex,Salem,1800,,,,,,,
32 Cloutmans Ln,699000,3,2,"2,408",$290 / Sq. Ft.,Single Family Detached,Essex,Marblehead,1930,,,,,,,
6 Alexander Cir,649000,2,3,"2,337",$278 / Sq. Ft.,Single Family Detached,Essex,Marblehead,1961,,,True,,,,
6 School St,399900,6,2,"1,888",$212 / Sq. Ft.,2 Units Up/Down,Essex,Beverly,1900,True,,,,,,
5 Eustis Rd,3450000,5,6,"6,679",$517 / Sq. Ft.,Single Family Detached,Essex,Peach's Point,1900,,,True,,,,
51 Lafayette St #408,415000,2,2,"1,526",$272 / Sq. Ft.,Condominium,Essex,Salem,2003,,,True,,,,
37 Wellman #2,180000,2,1,950,$189 / Sq. Ft.,Condominium,Essex,Beverly,1920,True,,True,,True,,
255 Lafayette St #3,259900,1,1,850,$306 / Sq. Ft.,Condominium,Essex,Salem,1900,,,True,,,,
5 Chase St #3,174900,2,1,884,$198 / Sq. Ft.,Condominium,Essex,Salem,1930,,,True,,,,
66 Leach St Unit C,137500,2,1,972,$141 / Sq. Ft.,Condominium,Essex,Salem,1920,,,,,,,
57 Naugus Ave,1950000,4,4,"3,762",$518 / Sq. Ft.,Single Family Detached,Essex,Marblehead,2003,,,True,,,,
6 Moulton Ct #6,279999,2,1.5,918,$305 / Sq. Ft.,Condominium,Essex,Beverly,1986,,True,True,,True,,
284 Lafayette St,1200000,11,11,"5,942",$202 / Sq. Ft.,2 Family (Rooming House),Essex,Salem,1879,True,,,,,,
3 Hardy St,925000,4,2,"2,288",$404 / Sq. Ft.,2 Family,Essex,Salem,1850,,,,,,,
